,date_of_enquiry,departure,destination,flight_date,flight_time,arrival_time,airline,layovers,flight_duration,price
168,2023-12-15,Cluj,Lisabona,2023-12-27,11:50,17:25,AF,1,455,329
169,2023-12-15,Lisabona,Cluj,2023-12-27,11:45,20:50,AF,1,425,98
170,2023-12-15,Cluj,Lisabona,2023-12-28,06:55,11:50,AF,1,415,312
171,2023-12-15,Lisabona,Cluj,2023-12-28,06:10,13:40,AF,1,330,173
172,2023-12-15,Cluj,Lisabona,2023-12-29,16:15,22:15,AF,1,480,203
173,2023-12-15,Lisabona,Cluj,2023-12-29,06:10,13:40,AF,1,330,173
174,2023-12-15,Cluj,Lisabona,2023-12-30,06:10,11:10,AF,1,420,268
175,2023-12-15,Lisabona,Cluj,2023-12-30,06:10,13:40,AF,1,330,173
176,2023-12-15,Lisabona,Cluj,2024-01-02,10:05,19:35,AF,1,450,266
177,2023-12-15,Lisabona,Cluj,2024-01-03,11:45,20:50,AF,1,425,108
178,2023-12-15,Lisabona,Cluj,2024-01-04,06:10,13:40,AF,1,330,399
179,2023-12-15,Lisabona,Cluj,2024-01-05,16:05,00:40,AF,1,395,189
180,2023-12-15,Cluj,Dublin,2023-12-20,21:30,22:50,AF,0,200,54
181,2023-12-15,Cluj,Dublin,2023-12-21,10:00,15:40,AF,1,460,46
182,2023-12-15,Cluj,Dublin,2023-12-22,22:20,23:55,AF,0,215,29
183,2023-12-15,Cluj,Dublin,2023-12-23,18:35,23:50,AF,1,435,75
184,2023-12-15,Cluj,Dublin,2023-12-26,20:10,00:35,AF,1,385,86
185,2023-12-15,Dublin,Cluj,2023-12-26,14:50,23:20,AF,1,390,168
186,2023-12-15,Cluj,Dublin,2023-12-27,21:30,22:50,AF,0,200,64
187,2023-12-15,Dublin,Cluj,2023-12-27,23:40,04:50,AF,0,190,154
188,2023-12-15,Cluj,Dublin,2023-12-28,18:30,23:25,AF,1,415,99
189,2023-12-15,Dublin,Cluj,2023-12-28,16:05,00:20,AF,1,375,124
190,2023-12-15,Cluj,Dublin,2023-12-29,21:30,22:50,AF,0,200,84
191,2023-12-15,Dublin,Cluj,2023-12-29,16:30,21:50,AF,0,200,91
192,2023-12-15,Cluj,Dublin,2023-12-30,18:25,23:15,AF,1,410,108
193,2023-12-15,Dublin,Cluj,2023-12-30,09:30,19:50,AF,1,500,169
194,2023-12-15,Dublin,Cluj,2024-01-02,14:50,23:20,AF,1,390,220
195,2023-12-15,Dublin,Cluj,2024-01-03,23:40,04:50,AF,0,190,64
196,2023-12-15,Dublin,Cluj,2024-01-04,16:05,00:20,AF,1,375,49
197,2023-12-15,Dublin,Cluj,2024-01-05,23:40,04:50,AF,0,190,54
198,2023-12-15,Cluj,Viena,2023-12-20,13:55,16:55,AF,1,240,191
199,2023-12-15,Cluj,Viena,2023-12-21,07:00,10:15,AF,1,255,114
200,2023-12-15,Cluj,Viena,2023-12-22,13:30,13:50,AF,0,80,90
201,2023-12-15,Cluj,Viena,2023-12-23,06:15,08:40,AF,1,205,216
202,2023-12-15,Cluj,Viena,2023-12-26,14:20,21:15,AF,1,475,223
203,2023-12-15,Viena,Cluj,2023-12-26,15:50,21:50,AF,1,300,224
204,2023-12-15,Cluj,Viena,2023-12-27,13:55,16:55,AF,1,240,251
205,2023-12-15,Viena,Cluj,2023-12-27,08:10,13:15,AF,1,245,339
206,2023-12-15,Cluj,Viena,2023-12-28,10:00,18:25,AF,1,565,134
207,2023-12-15,Viena,Cluj,2023-12-28,15:15,20:40,AF,1,265,154
208,2023-12-15,Cluj,Viena,2023-12-29,13:30,13:50,AF,0,80,90
209,2023-12-15,Viena,Cluj,2023-12-29,14:20,16:35,AF,0,75,100
210,2023-12-15,Cluj,Viena,2023-12-30,20:10,07:20,AF,1,730,115
211,2023-12-15,Viena,Cluj,2023-12-30,16:50,00:50,AF,1,420,131
212,2023-12-15,Viena,Cluj,2024-01-02,07:35,13:50,AF,1,315,184
213,2023-12-15,Viena,Cluj,2024-01-03,19:50,00:50,AF,1,240,207
